,feature importance
0,0.00577488233056922
1,0.0024274561732059714
2,0.5835822667149886
3,0.0050148885549427934
4,0.009801764735620635
5,0.009671165316303795
6,0.032897373099546094
7,0.0006189310109512109
8,0.042677671429870126
9,0.022698788009793892
10,0.00015672539681328837
11,0.12342277804204332
12,0.001155981481981085
13,0.00042769747826487247
14,0.010633035973980642
15,0.0010727288241796065
16,0.0036488373065800615
17,0.0007685438331545355
18,0.008089972905539726
19,0.002728783413023535
20,0.00484632250442228
21,0.02178826264619215
22,0.015713335639011814
23,0.005744518139772959
24,0.0008713214013648193
25,0.00019481645748151954
26,0.004508957191784115
27,0.00017502827924726507
28,4.799310637536936e-05
29,2.435792660885121e-05
30,0.0007978313303929276
31,0.0013846229310086693
32,0.0
33,2.57091800210088e-05
34,1.155652304079788e-05
35,5.741091454472631e-05
36,9.11771708662799e-05
37,0.00028311642150877524
38,0.0006315445078997453
39,0.00042613423086524483
40,8.066636073250659e-05
41,0.0014969293998881525
42,0.0016029737990828118
43,0.00037741060071368106
44,0.00016775646629512087
45,0.0005947111951483805
46,0.00043892543066035043
47,0.0006496623639319206
48,0.00012463355277166145
49,5.5735671067142496e-05
50,0.0007977682727365164
51,0.00041803967126897615
52,0.00032271796331671023
53,0.00015866720076021306
54,9.475394135120357e-06
55,2.769740114237012e-06
56,1.5561055924029963e-05
57,8.487986671076277e-05
58,0.0001889297493648542
59,0.0003731385827355967
60,0.0007567171560089692
61,0.0008279896409958263
62,0.0001051215655182161
63,7.188487273437857e-05
64,3.5261612937020976e-05
65,3.810676723101034e-05
66,0.0002618928606870942
67,1.0619689438555522e-05
68,0.00015751684241886051
69,0.0025463870286723572
70,0.00033959827665707175
71,0.0002266494707491121
72,5.338663267301767e-05
73,0.00011441417609790537
74,6.462174064055265e-05
75,0.00019992381210316961
76,0.0005126811756736928
77,0.0002558688197054771
78,1.0792988626169225e-05
79,9.315905360205749e-05
80,0.00014003206456480677
81,0.0005947124997923909
82,6.2919492553968175e-06
83,0.00012125227640012722
84,5.7047266266977127e-05
85,2.8453326427417103e-05
86,1.4654821158064378e-06
87,5.333522852922512e-06
88,7.226152303140428e-06
89,1.386065578096773e-05
90,0.00042430654271305885
91,0.0
92,0.00038209320569839394
93,1.6587169236656578e-07
94,2.6661234158680074e-10
95,3.2673536516648067e-07
96,0.00025973186589239465
97,1.4500824927828177e-05
98,3.2240869230764796e-05
99,5.138171791401376e-05
100,6.328909626365264e-05
101,0.0001808416063253711
102,2.9420327339326265e-06
103,0.00018110285669862024
104,1.9825287488402575e-05
105,2.456754523693742e-05
106,0.0006477997416908453
107,8.096615667335574e-06
108,0.00016159522861132442
109,0.0001324553085071004
110,0.00048147195014446763
111,3.456649447736474e-05
112,0.0005757022216536878
113,3.6262175578956985e-06
114,3.196028194927147e-06
115,1.1143637693774201e-05
116,0.00032922435162143306
117,2.4812697528001508e-06
118,7.2184175962822586e-06
119,4.7828226094291055e-08
120,1.3760783490284903e-05
121,1.4587482434619064e-05
122,0.001503364618822237
123,1.807831468307284e-05
124,4.859626466661918e-06
125,1.9615729538047873e-05
126,0.0003104443056866616
127,8.595192945245552e-09
128,0.00013101075604935887
129,0.0020303442605302665
130,8.833445158406545e-08
131,0.0002492204120723087
132,0.00020550448408472428
133,4.400964204201588e-06
134,0.00012227526249499878
135,0.0006495203601960866
136,0.0006519589868436939
137,9.68787554340312e-06
138,0.0
139,6.481030350797963e-06
140,6.506867665502416e-06
141,4.80467239296414e-05
142,6.584212654305228e-05
143,3.3960728099552604e-08
144,0.0001441461438066382
145,0.0019392565327319216
146,0.0009700124509048975
147,0.00022373896093345178
148,1.034173342803796e-05
149,0.00012827696449541412
150,2.6981581714431014e-06
151,0.0001237353826519892
152,0.0007361358373613525
153,0.00012736310905489645
154,0.0001615106586165187
155,0.0
156,5.8892734330516416e-05
157,0.00044722978452979367
158,0.0004076337046631228
159,0.0007126713992281674
160,4.790782028738109e-05
161,0.0018026172435791792
162,1.8026189775542892e-05
163,0.001022910493906323
164,0.0007701995296483813
165,3.751684852049772e-06
166,0.0002649815282956097
167,0.00022017133529439873
168,1.119698826449598e-06
169,0.00034253029835784
170,0.00022692646555948678
171,0.00022323616615707326
172,0.000381679928348433
173,1.1268562188642786e-05
174,1.2162780358431518e-06
175,1.7148778638251583e-06
176,0.003326678783261278
177,5.115849599772442e-05
178,0.0017222918016352132
179,0.0004329879182565128
180,1.3145873770094028e-05
181,0.000160815666829476
182,0.00024968245525858613
183,6.329348731961979e-07
184,0.00020421524305818875
185,1.4797439150163947e-05
186,0.00040299926312358663
187,0.0014509021669974163
188,0.00019932843669939848
189,0.0015047296784293813
190,2.0701166968647977e-05
191,0.00028219310874633
192,0.0001349190760037804
193,0.0007393189225920012
194,8.357120440872702e-05
195,0.00014246751377893838
196,0.00026421269622352295
197,1.641531550501855e-05
198,0.00014366081040421324
199,6.006786412279922e-05
200,1.906741001359218e-05
201,4.4897868204138696e-05
202,7.603917060445231e-05
203,0.00017070213143079448
204,4.39024813238929e-06
205,4.5982147613989104e-07
206,4.4207408878341225e-05
207,4.448840077184391e-05
208,1.5032851836684225e-05
209,3.7069963946645704e-05
210,3.472464506723191e-07
211,0.00033800315136225554
212,0.00012877959197761036
213,0.0002315842537643165
214,4.0238566795345956e-07
215,0.00034468067890102035
216,0.0012298468403215469
217,0.0019265143481856342
218,6.412467835238557e-05
219,2.080407583543743e-05
220,3.3157456883245847e-06
221,1.1597672315521733e-06
222,7.772304328115413e-05
223,3.406934851104102e-06
224,0.0011001764449169796
225,4.28807120354048e-05
226,0.001797165950970111
227,0.0010228805970042315
228,0.0
229,2.1576038562970577e-05
230,3.735546669319658e-05
231,4.8806925205659834e-05
232,4.256618450734398e-05
233,0.00013360360368724515
234,1.5044160274000255e-05
235,0.00046892079556692885
236,0.0
237,0.00032437677772146066
238,2.1527928660744514e-05
239,0.0009205289428779633
240,6.297706414389289e-05
241,0.00035346030204315166
242,0.0017118525889411626
243,3.6772975694962236e-06
244,0.0018099452057155569
245,1.3801054886866586e-05
246,0.00023407874766792085
247,2.9211873693012366e-05
248,0.0024238940247477366
249,6.807900965270685e-05
250,0.0007227094578009078
251,0.0006076975029970403
252,0.001071967772312691
253,7.73246974172747e-05
254,1.2111060576221514e-06
255,6.783308735342943e-05
256,2.540708514522337e-05
257,6.851324442388281e-07
258,0.000741877117607622
259,8.599970397049958e-05
260,2.1120198300207492e-08
261,1.529435518434567e-05
262,4.3130258312346206e-05
263,6.271931836098452e-06
264,0.00026860727720013266
265,7.09497451553581e-05
266,0.00019761536834565056
267,6.66970849162748e-05
268,0.00012764378626645452
269,9.834937850915539e-05
270,7.61159013370309e-05
271,0.0009180638659202865
272,2.3608965037654178e-06
273,0.000326059089872523
274,5.042149061453209e-06
275,7.138088442113096e-07
276,2.409682221645815e-05
277,6.865552637904879e-06
278,3.915293559642754e-05
279,4.734974588458448e-05
280,3.0318830831354544e-05
281,1.6420121091788017e-05
282,1.3370855297072747e-05
283,1.8728211983004447e-05
284,2.3382116637838637e-06
285,0.0005369725056124015
286,1.5420303320963072e-06
287,0.0004989387603418802
288,0.0
289,0.000620949414259807
290,1.5709855900679603e-06
291,8.313527866074232e-05
292,0.0003194063420079543
293,0.00042003415508944406
294,0.0003864356052004637
